30.01,972.00,96.00,44.00
30.03,936.00,32.00,60.00
30.05,908.00,80.00,60.00
30.08,884.00,52.00,88.00
30.10,900.00,56.00,76.00
30.13,908.00,44.00,96.00
30.15,940.00,52.00,76.00
30.18,960.00,68.00,92.00
30.20,1028.00,12.00,48.00
30.22,1060.00,36.00,72.00
30.25,1096.00,32.00,64.00
30.27,1128.00,-16.00,64.00
30.30,1148.00,-8.00,52.00
30.34,1160.00,-32.00,56.00
30.37,1144.00,-56.00,56.00
30.40,1128.00,-56.00,44.00
30.45,1040.00,-92.00,36.00
30.47,1000.00,-88.00,44.00
30.49,956.00,-100.00,20.00
30.52,952.00,-116.00,52.00
30.54,916.00,-124.00,56.00
30.57,912.00,-124.00,36.00
30.59,908.00,-108.00,64.00
30.61,928.00,-116.00,72.00
30.64,964.00,-104.00,48.00
30.66,1012.00,-88.00,56.00
30.69,1032.00,-88.00,60.00
30.71,1084.00,-64.00,48.00
30.73,1112.00,-56.00,52.00
30.76,1128.00,-48.00,48.00
30.78,1148.00,-16.00,60.00
30.81,1156.00,-16.00,64.00
30.85,1132.00,8.00,48.00
30.88,1108.00,20.00,56.00
30.91,1064.00,64.00,20.00
30.96,992.00,24.00,36.00
30.98,940.00,80.00,52.00
31.00,920.00,84.00,68.00
31.03,888.00,56.00,76.00
31.05,900.00,52.00,68.00
31.08,908.00,52.00,76.00
31.10,916.00,28.00,112.00
31.12,952.00,60.00,68.00
31.15,1004.00,44.00,88.00
31.17,1032.00,48.00,60.00
31.20,1072.00,4.00,64.00
31.24,1128.00,8.00,68.00
31.27,1148.00,-16.00,68.00
31.29,1156.00,-24.00,44.00
31.32,1152.00,-36.00,56.00
31.34,1148.00,-56.00,48.00
31.36,1108.00,-60.00,60.00
31.39,1064.00,-72.00,20.00
31.42,1024.00,-96.00,36.00
31.44,996.00,-92.00,64.00
31.46,964.00,-112.00,60.00
31.49,936.00,-96.00,20.00
31.52,920.00,-108.00,56.00
31.54,916.00,-120.00,44.00
31.57,920.00,-116.00,60.00
31.62,984.00,-88.00,20.00
31.64,1024.00,-84.00,44.00
31.66,1048.00,-80.00,68.00
31.69,1064.00,-76.00,32.00
31.71,1124.00,-44.00,60.00
31.74,1136.00,-44.00,60.00
31.76,1156.00,-28.00,56.00
31.79,1144.00,-4.00,56.00
31.81,1132.00,-8.00,56.00
31.84,1100.00,16.00,52.00
31.86,1064.00,36.00,76.00
31.88,1020.00,28.00,84.00
31.91,988.00,64.00,44.00
31.93,968.00,12.00,80.00
31.98,908.00,76.00,80.00
32.00,908.00,56.00,40.00
32.03,908.00,64.00,40.00
32.08,952.00,36.00,68.00
32.10,992.00,72.00,60.00
32.13,1020.00,20.00,72.00
32.15,1040.00,0.00,56.00
32.17,1056.00,-8.00,48.00
32.20,1104.00,16.00,68.00
32.22,1148.00,-4.00,52.00
32.25,1144.00,-24.00,56.00
32.27,1148.00,-28.00,60.00
32.29,1132.00,-40.00,48.00
32.32,1116.00,-76.00,48.00
32.34,1068.00,-72.00,60.00
32.37,1040.00,-64.00,36.00
32.39,1012.00,-104.00,64.00
32.42,984.00,-96.00,44.00
32.44,972.00,-108.00,52.00
32.49,916.00,-116.00,48.00
32.51,924.00,-116.00,60.00
32.54,932.00,-128.00,80.00
32.56,972.00,-100.00,48.00
32.62,1016.00,-64.00,68.00
32.64,1048.00,-76.00,48.00
32.66,1104.00,-52.00,52.00
32.69,1128.00,-40.00,52.00
32.74,1144.00,-20.00,64.00
32.76,1144.00,0.00,64.00
32.79,1100.00,12.00,60.00
32.81,1084.00,20.00,56.00
32.83,1044.00,28.00,72.00
32.86,1032.00,32.00,52.00
32.88,1008.00,52.00,84.00
32.91,952.00,40.00,40.00
32.93,920.00,68.00,64.00
32.98,900.00,76.00,76.00
33.03,928.00,48.00,92.00
33.05,956.00,36.00,76.00
33.08,996.00,64.00,60.00
33.12,1036.00,32.00,64.00
33.15,1104.00,4.00,48.00
33.18,1108.00,4.00,60.00
33.20,1124.00,-4.00,56.00
33.23,1140.00,-36.00,60.00
33.25,1124.00,-44.00,44.00
33.28,1104.00,-48.00,60.00
33.30,1088.00,-68.00,56.00
33.35,1036.00,-100.00,52.00
33.37,976.00,-88.00,68.00
33.40,952.00,-96.00,24.00
33.42,936.00,-132.00,60.00
33.44,940.00,-108.00,24.00
33.47,928.00,-96.00,72.00
33.49,932.00,-112.00,80.00
33.52,952.00,-104.00,52.00
33.54,996.00,-88.00,32.00
33.57,1004.00,-96.00,92.00
33.59,1016.00,-76.00,68.00
33.62,1084.00,-60.00,28.00
33.64,1100.00,-56.00,60.00
33.66,1112.00,-44.00,40.00
33.69,1136.00,-20.00,92.00
33.72,1136.00,-8.00,52.00
33.74,1120.00,4.00,44.00
33.76,1088.00,8.00,68.00
33.81,1044.00,28.00,36.00
33.86,968.00,32.00,44.00
33.89,932.00,68.00,52.00
33.91,912.00,52.00,52.00
33.96,912.00,36.00,56.00
33.98,920.00,84.00,68.00
34.01,936.00,28.00,80.00
34.03,968.00,52.00,76.00
34.06,1016.00,12.00,84.00
34.08,1044.00,32.00,80.00
34.11,1072.00,16.00,72.00
34.13,1100.00,12.00,64.00
34.18,1128.00,-24.00,52.00
34.21,1120.00,-28.00,40.00
34.25,1104.00,-64.00,44.00
34.28,1044.00,-84.00,52.00
34.31,1012.00,-72.00,48.00
34.33,992.00,-116.00,72.00
34.35,968.00,-96.00,20.00
34.40,960.00,-128.00,16.00
34.45,908.00,-108.00,92.00
34.48,968.00,-120.00,24.00
34.50,972.00,-100.00,84.00
34.52,1004.00,-92.00,72.00
34.57,1048.00,-76.00,52.00
34.60,1080.00,-68.00,48.00
34.62,1108.00,-40.00,48.00
34.65,1120.00,-32.00,56.00
34.67,1124.00,0.00,40.00
34.70,1112.00,-8.00,48.00
34.72,1100.00,12.00,68.00
34.75,1056.00,20.00,68.00
34.77,1032.00,36.00,52.00
34.79,984.00,56.00,84.00
34.82,996.00,32.00,92.00
34.85,944.00,32.00,48.00
34.87,916.00,60.00,64.00
34.89,924.00,48.00,56.00
34.92,908.00,60.00,72.00
34.94,912.00,64.00,80.00
34.90,944.00,40.00,84.00
34.93,972.00,40.00,52.00
34.95,1008.00,32.00,56.00
34.98,1020.00,32.00,64.00
35.00,1080.00,4.00,52.00
35.03,1100.00,4.00,60.00
35.05,1108.00,-16.00,52.00
35.07,1112.00,-12.00,52.00
35.10,1120.00,-28.00,52.00
35.13,1104.00,-52.00,48.00
35.17,1060.00,-76.00,52.00
35.20,1028.00,-80.00,36.00
35.22,1016.00,-96.00,36.00
35.25,968.00,-108.00,48.00
35.27,952.00,-108.00,48.00
35.30,940.00,-100.00,60.00
35.32,928.00,-108.00,56.00
35.35,940.00,-108.00,56.00
35.37,960.00,-100.00,64.00
35.39,988.00,-80.00,36.00
35.42,992.00,-108.00,60.00
35.44,1012.00,-88.00,52.00
35.47,1060.00,-68.00,44.00
35.49,1080.00,-60.00,56.00
35.52,1096.00,-28.00,52.00
35.54,1104.00,-32.00,52.00
35.57,1116.00,-4.00,60.00
35.59,1104.00,-4.00,64.00
35.62,1092.00,8.00,56.00
35.64,1072.00,16.00,52.00
35.66,1028.00,16.00,40.00
35.71,964.00,32.00,68.00
35.74,952.00,40.00,56.00
35.76,932.00,60.00,48.00
35.78,912.00,52.00,52.00
35.83,920.00,40.00,88.00
35.85,940.00,48.00,64.00
35.88,964.00,44.00,60.00
